Ticket_ID,Age,Ticket_Price,Movie_Genre,Seat_Type,Number_of_Person,Purchase_Again
N7141,54,19.01,Horror,VIP,2,Yes
P3981,25,10.61,Comedy,Premium,Alone,No
I6591,57,10.41,Drama,VIP,Alone,No
Y2750,58,11.26,Action,VIP,Alone,Yes
X4553,52,15.56,Sci-Fi,Premium,5,No
X9468,44,22.89,Drama,Standard,Alone,Yes
E2677,44,19.74,Horror,VIP,Alone,Yes
X8764,39,18.27,Action,Premium,Alone,No
B2686,22,15.19,Sci-Fi,Standard,3,Yes
O8372,36,23.99,Sci-Fi,VIP,Alone,No
K6220,31,17.56,Comedy,Standard,Alone,No
O6264,60,11.58,Drama,VIP,7,Yes
A9435,49,17.85,Drama,Premium,Alone,Yes
N5266,48,14.04,Drama,VIP,6,No
I5016,54,21.49,Sci-Fi,Standard,7,Yes
U8801,38,17.67,Horror,VIP,2,No
T0054,49,22.24,Action,VIP,Alone,No
F1181,59,11.46,Action,Standard,Alone,Yes
N2120,25,13.05,Action,VIP,6,No
S0813,35,14.85,Horror,Standard,Alone,No
O2106,58,18.95,Drama,VIP,6,No
D9856,19,17.81,Action,Premium,Alone,No
M1047,59,10.69,Action,Standard,6,No
F9240,60,23.15,Action,Premium,6,No
N9075,27,18.31,Action,Premium,Alone,Yes
O3044,18,12.04,Action,Standard,6,Yes
T1301,55,13.71,Comedy,Premium,Alone,No
E0849,23,15.44,Horror,Standard,Alone,Yes
F1619,40,13.93,Comedy,Premium,6,Yes
L7684,46,24.35,Horror,VIP,6,Yes
N6284,53,16.47,Drama,VIP,Alone,Yes
V5427,39,23.2,Sci-Fi,VIP,Alone,Yes
M9668,22,21.73,Sci-Fi,VIP,2,Yes
D9591,33,10.24,Horror,Standard,Alone,No
O6443,35,16.33,Horror,Standard,7,Yes
T2876,60,24.08,Horror,Premium,4,No
O7406,31,13.91,Comedy,Premium,Alone,Yes
P2389,26,22.97,Sci-Fi,VIP,5,Yes
Z3286,38,11.74,Action,Standard,6,No
G4404,32,10.53,Drama,Standard,5,Yes
B3750,57,15.21,Action,Standard,Alone,No
T9837,45,12.86,Sci-Fi,VIP,Alone,Yes
Y7160,36,18.31,Sci-Fi,Premium,Alone,No
I1671,22,20.38,Drama,Premium,6,No
A3867,40,10.69,Drama,VIP,Alone,Yes
B4428,33,10.77,Drama,VIP,6,Yes
K7409,40,13.93,Drama,VIP,5,Yes
E0326,46,13.91,Comedy,VIP,Alone,Yes
O4468,39,10.45,Drama,VIP,6,Yes
P4854,41,12.47,Comedy,Premium,7,Yes
R2740,26,24.51,Action,VIP,Alone,No
F6176,43,14.92,Action,Premium,2,No
H0290,40,14.48,Comedy,VIP,Alone,Yes
B2822,59,10.49,Action,Standard,Alone,No
F8301,47,21.93,Comedy,Premium,2,No
M4228,57,12.83,Sci-Fi,Premium,Alone,No
B8676,43,10.37,Horror,VIP,4,No
N4818,49,23.83,Drama,VIP,7,No
E8777,34,16.5,Comedy,Standard,2,No
Q5846,20,18.39,Comedy,Premium,Alone,Yes
G7855,28,24.26,Drama,Premium,7,Yes
H8293,43,20.67,Drama,Premium,6,No
R8949,26,23.43,Drama,Standard,Alone,Yes
M9044,40,13.2,Action,VIP,2,No
F3207,23,22.99,Sci-Fi,Premium,3,Yes
L4232,39,10.07,Comedy,Standard,7,No
H4073,29,18.99,Horror,Standard,6,No
O2241,30,14.04,Comedy,Standard,3,Yes
B0204,47,13.75,Comedy,VIP,2,Yes
Z1790,55,14.98,Drama,Premium,2,Yes
K5294,41,16.75,Drama,VIP,Alone,No
Q6951,42,22.69,Sci-Fi,Premium,7,Yes
H1404,56,16.03,Drama,Standard,Alone,Yes
Y5391,21,13.88,Horror,Premium,6,No
N0170,56,20.64,Sci-Fi,VIP,Alone,Yes
L0167,52,18.81,Action,VIP,2,No
D2128,20,13.82,Drama,Standard,Alone,No
X8350,46,13.86,Drama,Premium,Alone,No
F1885,35,20.77,Action,Standard,4,Yes
O3931,20,17.06,Sci-Fi,Standard,Alone,Yes
E2469,54,22.02,Horror,Standard,4,No
G5366,52,11.95,Action,Premium,4,Yes
X5079,58,21.45,Sci-Fi,Premium,6,Yes
V9737,21,11.94,Sci-Fi,Standard,Alone,Yes
P6431,54,22.27,Sci-Fi,Standard,Alone,Yes
G3133,33,16.85,Horror,Premium,2,No
F4095,57,21.93,Sci-Fi,Premium,2,No
Z3930,51,15.46,Drama,Premium,4,No
J2459,60,13.06,Action,Premium,Alone,Yes
Q6909,44,11.3,Action,Standard,4,Yes
G7472,53,19.78,Drama,Standard,3,No
Y5962,55,23.63,Sci-Fi,Premium,Alone,Yes
J4979,45,13.91,Horror,Premium,Alone,No
O7429,43,12.51,Drama,VIP,3,No
V3234,31,15.97,Horror,Premium,Alone,Yes
E3715,19,13.28,Action,Standard,5,Yes
F2003,45,23.95,Action,VIP,Alone,Yes
H0595,36,19.3,Action,Standard,Alone,No
D6122,49,20.6,Horror,Standard,Alone,Yes
A5528,21,11.12,Comedy,Premium,Alone,No
K1997,23,22.37,Action,Premium,Alone,Yes
T5714,43,17.49,Action,Standard,Alone,Yes
R3928,53,20.62,Horror,Premium,2,Yes
B0786,40,18.8,Horror,Premium,4,Yes
T0180,34,15.62,Drama,Standard,Alone,No
G9726,20,13.31,Action,Standard,2,Yes
H2248,59,10.21,Action,Standard,5,Yes
D9710,58,20.19,Horror,Premium,Alone,Yes
X8137,42,14.77,Horror,VIP,6,No
K0842,54,19.14,Horror,Premium,Alone,No
G0559,18,11.88,Comedy,Premium,Alone,Yes
L4461,50,18.27,Action,Premium,5,Yes
L6043,22,17.66,Drama,VIP,6,Yes
C6804,27,19.14,Comedy,Premium,Alone,Yes
J4301,60,15.69,Action,VIP,Alone,No
X2267,48,15.54,Action,VIP,7,Yes
K8372,25,23.68,Drama,Premium,3,No
L5263,20,14.97,Sci-Fi,Standard,2,No
E2573,45,10.85,Comedy,VIP,6,Yes
Q4561,47,18.01,Horror,VIP,6,No
U1241,46,12.24,Horror,Premium,Alone,Yes
B3035,29,24.12,Drama,Standard,Alone,No
O2464,51,11.1,Sci-Fi,Standard,5,Yes
M7187,59,17.76,Action,Premium,Alone,No
Q2909,56,22.59,Comedy,VIP,7,No
V1725,51,14.13,Drama,Standard,Alone,No
O3164,50,11.26,Comedy,VIP,Alone,Yes
P6483,32,19.86,Horror,VIP,Alone,Yes
R9368,19,10.67,Drama,VIP,7,No
Y8059,35,10.41,Comedy,VIP,Alone,Yes
W3548,40,24.38,Action,VIP,3,Yes
Y6242,56,21.72,Drama,VIP,7,Yes
U3526,22,15.21,Drama,Standard,Alone,No
R4992,45,23.93,Sci-Fi,Standard,3,No
S3317,34,15.42,Sci-Fi,Premium,3,No
Q0936,30,15.47,Action,Premium,4,Yes
V9885,25,14.89,Action,VIP,Alone,No
Y5020,43,21.19,Action,Premium,Alone,No
Y3205,35,17.35,Drama,VIP,Alone,No
M3910,18,14.6,Action,VIP,Alone,No
Y4885,26,16.49,Comedy,Premium,Alone,No
U3623,58,23.95,Drama,VIP,Alone,Yes
M9809,39,14.4,Drama,VIP,2,Yes
S9804,60,24.08,Comedy,Standard,Alone,No
H4173,54,14.83,Action,Premium,5,Yes
Z2710,23,20.57,Action,VIP,6,No
T8609,40,12.96,Action,Premium,5,Yes
E6639,51,19.75,Horror,VIP,Alone,No
H3589,41,22.74,Horror,Standard,Alone,No
Q9783,52,16.58,Drama,Standard,3,Yes
F4135,28,10.48,Drama,VIP,Alone,No
J8589,29,24.21,Comedy,VIP,4,No
N7617,47,17.49,Action,VIP,Alone,Yes
Z0746,27,22.72,Drama,VIP,Alone,No
J6767,60,19.09,Comedy,VIP,Alone,Yes
T4877,35,20.26,Horror,Standard,7,No
Y9595,33,17.37,Action,Premium,2,No
G9552,53,21.16,Drama,Premium,Alone,Yes
X4744,38,22.71,Comedy,Premium,3,No
V1732,44,13.95,Action,Standard,Alone,No
X7881,43,10.38,Drama,VIP,4,Yes
W8501,42,20.95,Sci-Fi,Standard,4,Yes
S2200,19,13.76,Action,VIP,3,No
M9231,37,16.97,Drama,Standard,Alone,Yes
O6210,32,22.32,Horror,Premium,2,Yes
P1716,60,10.83,Drama,Standard,Alone,Yes
A7565,27,13.63,Sci-Fi,VIP,Alone,Yes
Z7240,44,11.99,Action,Standard,Alone,No
G7971,42,19.11,Comedy,VIP,2,No
F0472,43,18.79,Comedy,Standard,Alone,No
X0583,37,14.32,Sci-Fi,Standard,Alone,Yes
S7928,20,19.27,Comedy,Premium,Alone,Yes
H1936,58,20.96,Horror,VIP,4,Yes
U2595,21,17.18,Sci-Fi,VIP,Alone,No
T1209,33,21.55,Action,Premium,6,No
K2212,45,18.95,Comedy,VIP,3,No
D9095,40,13.46,Drama,Premium,Alone,Yes
F0351,19,17.53,Horror,Standard,Alone,Yes
O9124,40,13.98,Comedy,Standard,Alone,No
Y7920,56,11.02,Action,Standard,Alone,No
U4514,41,14.63,Sci-Fi,VIP,6,No
S9882,22,13.33,Horror,VIP,Alone,No
M4995,30,21.59,Drama,Premium,6,No
G8758,43,11.85,Horror,Premium,2,No
C5723,28,12.4,Drama,Premium,6,Yes
K4923,47,12.39,Sci-Fi,Standard,Alone,Yes
Y6380,27,16.48,Action,Standard,Alone,No
Y8012,21,19.43,Action,Premium,Alone,Yes
L7500,41,16.66,Sci-Fi,Standard,6,No
I4283,54,20.89,Drama,Standard,3,No
L1983,24,20.24,Sci-Fi,VIP,5,No
B7349,40,10.81,Horror,Premium,7,No
P0451,47,18.13,Horror,Premium,Alone,Yes
J3938,51,17.26,Comedy,VIP,5,Yes
Z8035,54,21.41,Horror,Standard,Alone,Yes
C6483,56,16.33,Drama,VIP,6,Yes
X0045,22,20.16,Action,VIP,2,No
S5454,56,23.59,Horror,Standard,Alone,Yes
V8216,27,14.83,Comedy,Standard,Alone,No
C4419,48,13.01,Drama,VIP,4,No
R9005,54,11.23,Action,VIP,6,No
W3785,40,23.41,Horror,VIP,7,No
A5307,45,21.46,Comedy,Standard,6,No
U1538,59,21.94,Horror,Standard,5,Yes
P9720,43,10.91,Action,Standard,Alone,Yes
O2737,55,11.97,Comedy,VIP,6,No
Q9149,60,23.13,Horror,VIP,Alone,Yes
I2866,49,21.91,Horror,Premium,5,No
Z0663,51,19.13,Horror,VIP,2,No
N9718,48,14.02,Horror,VIP,Alone,Yes
B8006,52,16.35,Comedy,VIP,6,No
I5327,22,20.66,Sci-Fi,Standard,Alone,Yes
L5541,45,22.54,Sci-Fi,Standard,5,No
X2102,41,14.41,Comedy,VIP,Alone,No
Z4756,21,12.4,Drama,Standard,7,Yes
U1070,37,18.8,Horror,Premium,Alone,No
H9188,38,13.73,Sci-Fi,Standard,3,Yes
D5033,25,10.41,Sci-Fi,Premium,Alone,Yes
R3941,42,22.41,Action,Premium,6,No
M2787,43,15.92,Sci-Fi,VIP,3,No
Z3492,36,23.72,Action,VIP,4,Yes
D8428,19,12.09,Horror,Premium,Alone,No
T6734,36,15.17,Drama,VIP,3,Yes
X5538,21,14.99,Drama,Premium,7,No
A5566,54,22.72,Comedy,Premium,4,No
B1663,47,15.16,Drama,Standard,Alone,Yes
M4304,53,20.01,Sci-Fi,Standard,Alone,Yes
Z1944,22,21.52,Horror,Standard,5,Yes
Q1502,22,14.95,Sci-Fi,VIP,5,No
J8101,52,13.9,Action,VIP,Alone,Yes
R4219,54,17.6,Comedy,VIP,6,Yes
R0307,40,10.06,Drama,VIP,2,Yes
Y0899,59,22.85,Drama,Standard,Alone,Yes
B3335,31,22.23,Action,VIP,Alone,No
Y7896,50,10.1,Horror,VIP,Alone,No
K7716,27,22.68,Horror,VIP,Alone,No
H7411,39,23.0,Sci-Fi,Standard,Alone,No
V4466,56,20.16,Sci-Fi,Standard,Alone,No
I0732,52,14.37,Drama,Premium,Alone,Yes
K5903,36,18.0,Horror,VIP,4,No
R9300,34,17.9,Comedy,VIP,3,No
Y1327,23,19.44,Sci-Fi,Premium,Alone,No
W2948,34,19.64,Horror,Standard,Alone,No
M9787,39,24.65,Sci-Fi,Standard,5,No
G3600,58,11.94,Horror,Premium,3,No
M3870,18,10.6,Comedy,Standard,Alone,No
F7288,60,15.39,Drama,VIP,Alone,No
G9465,40,23.56,Action,VIP,6,No
U2868,43,18.7,Comedy,Premium,4,No
T5208,22,23.75,Action,Premium,Alone,No
W4817,21,14.36,Sci-Fi,Standard,Alone,Yes
G5771,42,11.49,Drama,Standard,3,No
E3613,46,11.5,Action,VIP,7,No
H7914,38,10.68,Action,Premium,Alone,Yes
R8886,34,22.99,Comedy,Standard,7,No
A4304,49,13.59,Action,Premium,Alone,Yes
T4531,23,17.07,Horror,Premium,Alone,No
X7448,55,24.76,Action,Standard,3,Yes
Q3075,23,15.8,Sci-Fi,VIP,Alone,No
E5507,51,23.81,Sci-Fi,VIP,3,No
A7562,26,24.82,Comedy,Standard,4,No
U6249,31,10.34,Action,Premium,7,No
X7898,56,18.98,Horror,VIP,7,No
M6955,47,16.37,Horror,Premium,Alone,Yes
S1872,26,24.33,Horror,Standard,Alone,Yes
R3505,42,23.03,Horror,Standard,3,Yes
Y2711,29,13.42,Action,Standard,Alone,Yes
J7159,53,13.06,Comedy,Standard,4,Yes
M9467,23,10.01,Action,Premium,4,Yes
N4655,59,19.89,Action,VIP,5,No
M9022,34,24.17,Action,Premium,6,Yes
H1997,32,13.14,Comedy,VIP,Alone,No
R3056,39,19.95,Horror,Standard,Alone,Yes
V4937,38,22.48,Sci-Fi,VIP,Alone,No
S7251,42,14.26,Horror,VIP,4,Yes
R5976,33,19.09,Comedy,Premium,5,Yes
F1526,33,19.49,Drama,Standard,Alone,Yes
Z2440,37,22.52,Sci-Fi,Standard,6,Yes
B4636,45,15.43,Drama,VIP,4,Yes
W7032,28,14.31,Drama,Standard,7,No
P8545,47,14.69,Drama,Premium,6,Yes
E8060,38,12.29,Drama,Premium,5,No
I5706,58,20.08,Comedy,Premium,Alone,No
I9952,44,16.54,Action,Premium,3,No
F4653,51,22.32,Action,VIP,2,No
M5646,60,10.4,Comedy,Standard,4,No
P2752,49,12.6,Comedy,Premium,Alone,Yes
X3029,33,17.05,Comedy,Standard,Alone,Yes
P0690,25,17.8,Action,VIP,Alone,No
G4541,53,10.42,Horror,Standard,Alone,No
R1080,21,20.2,Drama,Standard,7,Yes
N5074,29,23.93,Sci-Fi,VIP,Alone,Yes
Q8760,19,17.34,Drama,Premium,3,No
L2393,23,22.33,Comedy,Premium,Alone,Yes
S6507,21,19.1,Sci-Fi,Standard,Alone,Yes
Z9614,47,24.86,Action,Standard,6,No
U5154,55,22.38,Drama,Standard,Alone,Yes
C1641,31,19.31,Action,Standard,7,Yes
B0694,21,15.57,Action,Premium,5,No
U3427,51,11.93,Horror,Standard,Alone,No
Y4232,55,14.86,Sci-Fi,Standard,4,No
L1895,29,13.11,Sci-Fi,Standard,6,No
C4173,40,17.28,Horror,VIP,Alone,No
N9701,26,19.34,Action,VIP,Alone,Yes
D1959,43,18.99,Sci-Fi,VIP,Alone,Yes
K8305,48,12.08,Comedy,VIP,3,Yes
D6466,27,21.99,Action,Standard,Alone,No
T8132,35,10.98,Comedy,Premium,Alone,No
K2667,24,10.2,Comedy,Standard,4,Yes
C8150,44,12.16,Comedy,VIP,Alone,Yes
J1563,55,23.26,Horror,Premium,Alone,Yes
X7552,52,24.27,Horror,Premium,3,No
M4546,57,11.68,Drama,Standard,Alone,Yes
J0855,22,22.22,Drama,Standard,5,No
G9346,35,14.6,Sci-Fi,Standard,5,No
Z3248,49,16.1,Drama,Standard,5,Yes
H4048,51,24.9,Comedy,Premium,4,Yes
U8238,53,20.95,Horror,Standard,Alone,No
V3617,25,13.47,Action,Premium,2,No
L3265,22,15.46,Drama,VIP,Alone,Yes
O5299,29,17.19,Sci-Fi,Premium,7,Yes
V7547,57,21.89,Horror,Premium,Alone,Yes
B5560,21,16.28,Horror,Standard,2,Yes
B4108,60,17.51,Horror,VIP,Alone,Yes
K1779,23,14.43,Comedy,Premium,2,Yes
U0585,35,12.59,Drama,Premium,2,No
H3200,52,17.31,Action,VIP,Alone,Yes
Z1729,57,20.34,Horror,VIP,4,Yes
V0788,54,11.49,Horror,Premium,Alone,Yes
Z7851,24,10.83,Horror,VIP,6,No
Q3782,27,11.38,Action,Premium,Alone,Yes
G4760,47,17.0,Action,Premium,6,No
X2205,56,19.35,Drama,Standard,6,No
Z8477,52,15.07,Drama,Premium,2,Yes
X4895,22,18.86,Sci-Fi,Standard,5,Yes
Q5203,54,23.7,Horror,Premium,6,No
K2108,34,23.48,Drama,VIP,7,Yes
D3548,18,15.35,Horror,Standard,2,No
O4248,23,23.16,Action,VIP,Alone,No
P1627,21,20.8,Comedy,Standard,3,Yes
I0309,27,21.1,Drama,Premium,6,Yes
L6833,43,21.6,Comedy,Standard,Alone,No
G9872,23,24.35,Comedy,VIP,Alone,Yes
X8987,22,21.36,Comedy,VIP,7,No
T9292,32,24.97,Horror,VIP,Alone,No
Z8755,49,17.3,Sci-Fi,Premium,Alone,Yes
K4317,32,21.16,Action,Standard,7,Yes
G5822,25,10.92,Horror,Standard,Alone,Yes
A1540,52,14.44,Drama,Standard,4,Yes
G4364,38,12.12,Comedy,VIP,4,No
U2950,41,17.52,Sci-Fi,VIP,4,No
G2005,50,10.04,Action,VIP,Alone,No
N6776,51,13.63,Drama,Premium,6,No
G5914,44,22.98,Action,Premium,Alone,No
U1532,21,18.32,Horror,VIP,Alone,Yes
M9147,41,20.28,Horror,Standard,Alone,No
G7315,38,21.31,Action,Premium,2,No
F5373,50,15.99,Sci-Fi,Premium,Alone,Yes
E4245,44,18.52,Comedy,Standard,4,No
T9628,32,10.26,Comedy,Standard,Alone,No
Q7033,43,21.87,Drama,Premium,Alone,No
D0342,27,12.12,Sci-Fi,Premium,Alone,No
C7811,25,12.12,Comedy,Premium,Alone,Yes
C1040,45,14.4,Horror,Standard,Alone,No
U6973,27,14.37,Comedy,Standard,3,Yes
D5713,40,19.04,Drama,Premium,Alone,Yes
N1065,51,17.67,Horror,Premium,6,No
Q1140,39,22.14,Action,VIP,Alone,Yes
H9115,53,14.84,Drama,Premium,6,No
R5096,26,12.57,Comedy,Premium,4,No
K4229,57,10.86,Action,Premium,Alone,No
T2333,33,16.93,Horror,Premium,2,Yes
B7099,23,20.99,Drama,Premium,Alone,Yes
W4300,57,14.89,Action,VIP,Alone,Yes
T7976,36,21.72,Horror,Premium,4,Yes
Y3795,50,13.83,Action,Premium,4,Yes
S9225,18,20.74,Sci-Fi,Standard,Alone,Yes
A2565,30,20.19,Sci-Fi,Premium,Alone,Yes
N4849,23,14.53,Sci-Fi,Premium,Alone,No
E0520,21,17.65,Sci-Fi,VIP,5,Yes
D6523,38,24.27,Horror,VIP,Alone,Yes
V9448,19,20.35,Sci-Fi,Premium,Alone,Yes
Y7647,33,14.59,Sci-Fi,Standard,3,No
Q4486,27,17.76,Comedy,Standard,3,No
N7144,26,13.46,Drama,Standard,7,Yes
E2517,35,18.31,Sci-Fi,VIP,6,No
C7925,58,13.52,Comedy,VIP,3,Yes
I8324,53,23.5,Action,VIP,Alone,No
E8470,41,21.57,Drama,Premium,Alone,No
K6968,36,21.89,Drama,Standard,Alone,No
W1261,31,23.23,Sci-Fi,Standard,5,No
J0515,34,19.26,Action,Premium,Alone,Yes
M9663,32,13.1,Drama,Standard,2,Yes
H3987,58,13.58,Action,VIP,5,Yes
U3922,27,16.09,Comedy,Premium,6,No
R1976,27,15.31,Horror,VIP,Alone,No
O6512,32,13.1,Sci-Fi,Premium,7,No
G1300,42,17.28,Horror,Premium,6,Yes
A8680,35,13.74,Horror,Standard,3,Yes
I8624,49,15.21,Horror,Premium,Alone,Yes
L3353,27,11.99,Horror,Standard,4,Yes
Q3821,58,21.66,Sci-Fi,Standard,Alone,No
O7821,42,17.22,Horror,VIP,5,No
O6340,32,11.61,Comedy,Premium,Alone,No
S9743,18,21.81,Horror,VIP,Alone,No
S2007,22,24.3,Sci-Fi,Premium,Alone,Yes
G5084,42,23.0,Action,Standard,Alone,No
Y8732,32,21.93,Action,Premium,Alone,No
B5225,41,24.78,Horror,VIP,7,Yes
M2131,41,16.68,Action,Standard,Alone,Yes
A6849,28,15.12,Sci-Fi,VIP,3,No
P1578,26,11.22,Action,Standard,Alone,Yes
H6205,27,18.77,Horror,VIP,5,Yes
G9545,60,13.82,Horror,Standard,7,Yes
Y9176,28,19.28,Drama,Standard,Alone,Yes
V8990,29,24.75,Comedy,VIP,Alone,No
Q3755,20,20.16,Action,VIP,Alone,Yes
G2856,45,22.28,Sci-Fi,Standard,5,No
F7597,41,10.79,Sci-Fi,VIP,7,No
K0082,31,23.82,Comedy,Standard,Alone,No
C0135,20,14.5,Drama,Standard,6,No
H4754,43,17.08,Drama,Standard,5,Yes
V6465,21,11.57,Action,VIP,Alone,No
V5895,30,21.69,Drama,VIP,5,Yes
C8119,46,19.99,Comedy,Premium,Alone,No
I6253,53,14.99,Drama,VIP,Alone,No
M3668,51,14.63,Action,Premium,7,Yes
P1758,28,24.3,Comedy,VIP,7,No
X0475,18,11.5,Horror,VIP,2,Yes
A9027,52,19.11,Comedy,VIP,4,No
Q9785,44,15.85,Drama,Standard,Alone,Yes
H3475,34,21.44,Sci-Fi,Premium,3,Yes
M2148,33,11.14,Drama,Premium,2,No
E4423,33,10.43,Horror,Standard,Alone,Yes
P4882,22,14.54,Comedy,Standard,5,Yes
F8549,30,15.86,Sci-Fi,VIP,Alone,No
A0701,47,21.43,Comedy,VIP,4,No
Y0325,21,19.84,Horror,Premium,4,Yes
I8049,52,16.67,Horror,Standard,4,Yes
W8712,43,22.55,Comedy,Premium,4,Yes
A0309,21,24.54,Drama,Standard,5,No
O1319,45,23.03,Sci-Fi,Premium,Alone,No
S5625,59,24.79,Drama,Standard,Alone,Yes
P8221,41,16.08,Action,Premium,2,No
E6974,59,17.37,Sci-Fi,VIP,6,No
N6210,33,11.42,Drama,VIP,3,No
O7808,26,10.03,Sci-Fi,VIP,Alone,Yes
J6656,54,24.26,Horror,VIP,Alone,Yes
P6869,28,16.84,Action,Premium,Alone,No
A8022,44,14.89,Horror,Standard,Alone,No
C9977,58,24.96,Action,Standard,Alone,Yes
W0714,43,14.85,Horror,Premium,7,No
P4039,27,17.27,Drama,Standard,Alone,Yes
A1254,32,23.14,Comedy,Premium,3,No
B8586,38,15.92,Action,Standard,Alone,Yes
U8055,56,15.2,Comedy,Premium,6,Yes
L0268,57,16.0,Sci-Fi,Standard,5,Yes
S7944,27,21.17,Action,Standard,Alone,Yes
P6902,50,13.53,Action,Standard,3,Yes
W7792,52,15.62,Drama,VIP,Alone,No
K8175,19,23.87,Horror,Standard,7,Yes
M6833,50,19.67,Horror,Standard,Alone,No
U0452,32,13.16,Drama,Standard,Alone,No
G3963,36,18.67,Comedy,Premium,Alone,Yes
G5089,53,16.59,Comedy,Standard,Alone,No
U2874,51,21.05,Comedy,Premium,Alone,Yes
B4763,39,18.61,Comedy,Standard,Alone,No
X3386,55,13.54,Comedy,Standard,4,Yes
M7876,30,16.39,Comedy,Premium,3,Yes
X5473,48,11.14,Sci-Fi,VIP,6,Yes
R1798,47,24.93,Sci-Fi,VIP,5,Yes
A9193,33,17.57,Horror,VIP,2,Yes
T1022,24,14.5,Action,Premium,Alone,Yes
L2917,52,17.91,Sci-Fi,VIP,Alone,No
K3788,42,24.01,Horror,VIP,Alone,Yes
P6373,52,22.84,Horror,Standard,7,Yes
C5761,24,18.2,Action,Standard,Alone,Yes
S8388,36,15.19,Drama,VIP,6,Yes
S7393,46,15.45,Action,Premium,2,No
D6725,45,14.17,Sci-Fi,Premium,7,No
V6047,57,20.5,Action,Standard,Alone,No
U4238,28,21.67,Action,Premium,7,No
C9056,27,22.17,Comedy,VIP,Alone,No
L8764,20,22.32,Comedy,VIP,5,No
D2585,25,21.96,Drama,VIP,6,Yes
E6176,21,12.6,Horror,Standard,Alone,Yes
P9796,32,18.0,Horror,Standard,Alone,No
K3643,30,18.35,Comedy,VIP,7,Yes
V3523,45,16.36,Action,Premium,4,No
O9883,35,11.71,Action,Premium,Alone,No
N2970,54,17.27,Horror,Premium,4,No
U4102,19,18.82,Drama,VIP,Alone,Yes
Y5792,48,14.3,Drama,Standard,Alone,Yes
R7113,29,15.28,Drama,Premium,4,No
M9202,33,12.53,Horror,Standard,4,No
D0431,44,18.79,Comedy,VIP,7,Yes
V4471,44,16.35,Sci-Fi,VIP,3,Yes
C8354,46,19.82,Sci-Fi,Premium,6,Yes
M4257,39,15.54,Action,VIP,5,No
L0821,50,23.19,Horror,Standard,3,Yes
T5345,22,17.21,Horror,VIP,6,Yes
Y0633,27,18.28,Drama,Premium,6,No
F4455,49,10.42,Comedy,VIP,7,Yes
G4467,34,14.67,Drama,Standard,Alone,Yes
U9336,18,12.86,Comedy,VIP,Alone,No
Y3762,31,10.46,Comedy,Standard,6,Yes
L2256,24,19.83,Action,Premium,Alone,No
I0247,38,11.77,Action,VIP,Alone,Yes
